aerofoil1
	1.000000	0.001575
	0.996057	0.002265
	0.984292	0.004304
	0.964888	0.007602
	0.938153	0.012024
	0.904508	0.017393
	0.864484	0.023512
	0.818712	0.030169
	0.767913	0.037146
	0.712890	0.044217
	0.654508	0.051147
	0.593691	0.057686
	0.531395	0.063568
	0.468605	0.068513
	0.406309	0.072236
	0.345492	0.074468
	0.287110	0.074975
	0.232087	0.073583
	0.181288	0.070200
	0.135516	0.064828
	0.095492	0.057561
	0.061847	0.048573
	0.035112	0.038091
	0.015708	0.026360
	0.003943	0.013605
	0.000000	0.000000
	0.003943	-0.013605
	0.015708	-0.026360
	0.035112	-0.038091
	0.061847	-0.048573
	0.095492	-0.057561
	0.135516	-0.064828
	0.181288	-0.070200
	0.232087	-0.073583
	0.287110	-0.074975
	0.345492	-0.074468
	0.406309	-0.072236
	0.468605	-0.068513
	0.531395	-0.063568
	0.593691	-0.057686
	0.654508	-0.051147
	0.712890	-0.044217
	0.767913	-0.037146
	0.818712	-0.030169
	0.864484	-0.023512
	0.904508	-0.017393
	0.938153	-0.012024
	0.964888	-0.007602
	0.984292	-0.004304
	0.996057	-0.002265
	1.000000	-0.001575
